date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,6.34,6.43,6.25,6.36,1339819,,,0.028301886792452786,UWMC,mid,stooq
2024-03-06,6.44,6.52,6.375,6.49,1207371,0.020440251572326984,0.02023415336396779,0.022342064714946003,UWMC,mid,stooq
2024-03-07,6.56,6.63,6.455,6.58,819593,0.013867488443759513,0.01377221462122709,0.026595744680851036,UWMC,mid,stooq
2024-03-08,6.61,6.75,6.61,6.66,1072701,0.012158054711246313,0.012084739215072046,0.021021021021020974,UWMC,mid,stooq
2024-03-11,6.6,6.82,6.5832,6.81,1770280,0.022522522522522515,0.022272635609123223,0.03477239353891345,UWMC,mid,stooq
2024-03-12,6.83,6.875,6.67,6.77,911770,-0.005873715124816492,-0.005891033237237419,0.03028064992614477,UWMC,mid,stooq
2024-03-13,6.77,6.98,6.73,6.91,1569375,0.020679468242245314,0.020468550855395014,0.0361794500723589,UWMC,mid,stooq
2024-03-14,6.91,6.91,6.7,6.71,1800773,-0.02894356005788712,-0.029370686795988102,0.03129657228017883,UWMC,mid,stooq
2024-03-15,6.67,6.785,6.67,6.74,2634024,0.0044709388971684305,0.004460973940625266,0.017062314540059378,UWMC,mid,stooq
2024-03-18,6.8,6.875,6.69,6.79,1113794,0.007418397626112627,0.007391016646388962,0.02724594992636224,UWMC,mid,stooq
2024-03-19,6.65,6.77,6.51,6.75,1167828,-0.00589101620029453,-0.005908436686166283,0.03851851851851849,UWMC,mid,stooq
2024-03-20,6.74,7.16,6.73,7.15,1570997,0.059259259259259345,0.05756985182147791,0.0601398601398601,UWMC,mid,stooq
2024-03-21,7.18,7.55,7.15,7.49,2595886,0.047552447552447585,0.046456440823211854,0.05340453938584772,UWMC,mid,stooq
2024-03-22,7.47,7.66,7.38,7.62,2157271,0.01735647530040052,0.017207572169426782,0.036745406824147016,UWMC,mid,stooq
2024-03-25,7.6,7.75,7.43,7.43,1990802,-0.02493438320209984,-0.025250510968887214,0.04306864064602965,UWMC,mid,stooq
2024-03-26,7.5,7.51,7.2,7.29,2003038,-0.018842530282637937,-0.019022312709101,0.04252400548696839,UWMC,mid,stooq
2024-03-27,7.36,7.415,7.155,7.21,1958582,-0.010973936899862813,-0.01103459472370906,0.03606102635228846,UWMC,mid,stooq
2024-03-28,7.31,7.53,7.17,7.26,3898695,0.006934812760055475,0.00691087753984701,0.049586776859504175,UWMC,mid,stooq
2024-04-01,7.27,7.27,6.55,6.56,4347970,-0.09641873278236912,-0.10138922588070702,0.10975609756097558,UWMC,mid,stooq
2024-04-02,6.53,6.55,5.96,6.0,7162303,-0.08536585365853655,-0.08923113372794264,0.09833333333333331,UWMC,mid,stooq
2024-04-03,6.01,6.16,5.86,6.1,6132987,0.016666666666666607,0.016529301951210506,0.04918032786885243,UWMC,mid,stooq
2024-04-04,6.15,6.555,6.08,6.45,6325679,0.057377049180328044,0.05579135962841572,0.07364341085271311,UWMC,mid,stooq
2024-04-05,6.38,6.58,6.32,6.45,2191461,0.0,0.0,0.04031007751937981,UWMC,mid,stooq
2024-04-08,6.5,6.525,6.235,6.33,2113320,-0.018604651162790753,-0.01877989465159636,0.04581358609794629,UWMC,mid,stooq
2024-04-09,6.41,6.78,6.26,6.76,3669115,0.06793048973143745,0.06572265389878776,0.076923076923077,UWMC,mid,stooq
2024-04-10,6.5,6.6,6.185,6.26,2790094,-0.07396449704142016,-0.07684270494286562,0.06629392971246008,UWMC,mid,stooq
2024-04-11,6.32,6.5,6.265,6.38,2189283,0.019169329073482455,0.01898791224469138,0.036833855799373094,UWMC,mid,stooq
2024-04-12,6.28,6.41,6.26,6.28,1121893,-0.01567398119122254,-0.015798116876591176,0.023885350318471395,UWMC,mid,stooq
2024-04-15,6.29,6.31,5.98,6.07,2030385,-0.03343949044585992,-0.034011375408700466,0.05436573311367367,UWMC,mid,stooq
2024-04-16,6.03,6.13,5.98,6.11,1028464,0.006589785831960571,0.006568168112097169,0.024549918166939355,UWMC,mid,stooq
2024-04-17,6.15,6.18,6.03,6.1,1373235,-0.0016366612111293755,-0.0016380020042384695,0.024590163934426142,UWMC,mid,stooq
2024-04-18,6.18,6.255,6.13,6.17,1055687,0.011475409836065653,0.01141006673803096,0.02025931928687196,UWMC,mid,stooq
2024-04-19,6.14,6.23,6.1,6.15,1598806,-0.0032414910858994395,-0.0032467560988698697,0.02113821138211395,UWMC,mid,stooq
2024-04-22,6.18,6.26,6.1493,6.25,1419131,0.016260162601625883,0.016129381929883498,0.017711999999999933,UWMC,mid,stooq
2024-04-23,6.23,6.44,6.23,6.41,1469706,0.025600000000000067,0.025277807184268607,0.03276131045241809,UWMC,mid,stooq
2024-04-24,6.39,6.6,6.36,6.56,1781879,0.023400936037441422,0.023131332023418927,0.03658536585365844,UWMC,mid,stooq
2024-04-25,6.4,6.465,6.22,6.39,2202703,-0.02591463414634143,-0.026256334566554206,0.03834115805946794,UWMC,mid,stooq
2024-04-26,6.43,6.54,6.38,6.39,979096,0.0,0.0,0.02503912363067295,UWMC,mid,stooq
2024-04-29,6.45,6.52,6.28,6.33,1259668,-0.009389671361502261,-0.009434032233358529,0.037914691943127854,UWMC,mid,stooq
2024-04-30,6.27,6.38,6.26,6.3,971629,-0.004739336492891044,-0.004750602758597865,0.019047619047619067,UWMC,mid,stooq
2024-05-01,6.3,6.55,6.3,6.39,1471346,0.014285714285714235,0.014184634991956381,0.03912363067292645,UWMC,mid,stooq
2024-05-02,6.51,6.75,6.415,6.75,1347464,0.05633802816901423,0.05480823649499516,0.04962962962962963,UWMC,mid,stooq
2024-05-03,6.86,6.9535,6.69,6.8,2446192,0.007407407407407307,0.00738010729762246,0.038749999999999944,UWMC,mid,stooq
2024-05-06,6.87,7.15,6.87,7.08,1818835,0.04117647058823537,0.04035129552356745,0.039548022598870095,UWMC,mid,stooq
2024-05-07,7.08,7.27,7.03,7.13,1751947,0.007062146892655274,0.007037326720576084,0.033660589060308464,UWMC,mid,stooq
2024-05-08,7.03,7.19,7.0,7.15,2047357,0.0028050490883591017,0.0028011222797117733,0.026573426573426626,UWMC,mid,stooq
2024-05-09,7.28,7.62,7.19,7.51,2791691,0.05034965034965033,0.049123109070127076,0.057256990679094504,UWMC,mid,stooq
2024-05-10,7.48,7.54,7.01,7.1,2009912,-0.05459387483355527,-0.05614068172877364,0.0746478873239437,UWMC,mid,stooq
2024-05-13,7.15,7.245,6.835,6.95,2047935,-0.021126760563380254,-0.021353124470568946,0.0589928057553957,UWMC,mid,stooq
2024-05-14,7.08,7.36,7.05,7.35,2152981,0.05755395683453224,0.055958653648044414,0.042176870748299386,UWMC,mid,stooq
2024-05-15,7.41,7.608,7.375,7.38,2079098,0.004081632653061273,0.004073325387635869,0.031571815718157134,UWMC,mid,stooq
2024-05-16,7.34,7.355,7.18,7.22,1354227,-0.02168021680216803,-0.021918685707646275,0.024238227146814503,UWMC,mid,stooq
2024-05-17,7.19,7.26,7.07,7.15,1306611,-0.00969529085872567,-0.009742596198818482,0.0265734265734265,UWMC,mid,stooq
2024-05-20,7.15,7.215,7.105,7.15,1513912,0.0,0.0,0.015384615384615304,UWMC,mid,stooq
2024-05-21,7.12,7.21,7.09,7.18,1182514,0.00419580419580412,0.004187026354216453,0.016713091922005586,UWMC,mid,stooq
2024-05-22,7.17,7.22,6.99,7.02,1335775,-0.02228412256267409,-0.022536165022413058,0.0327635327635327,UWMC,mid,stooq
2024-05-23,7.08,7.08,6.92,6.95,1296777,-0.009971509971509862,-0.010021558461018877,0.02302158273381297,UWMC,mid,stooq
2024-05-24,7.03,7.29,6.9957,7.26,993410,0.044604316546762446,0.04363816926000382,0.0405371900826446,UWMC,mid,stooq
2024-05-28,7.34,7.51,7.3,7.42,2003034,0.02203856749311295,0.02179922834258436,0.028301886792452827,UWMC,mid,stooq
2024-05-29,7.29,7.31,7.085,7.15,1622976,-0.03638814016172498,-0.0370667004733727,0.031468531468531416,UWMC,mid,stooq
2024-05-30,7.21,7.44,7.14,7.41,1802084,0.036363636363636376,0.035718082602079246,0.04048582995951427,UWMC,mid,stooq
2024-05-31,7.47,7.505,7.345,7.37,1413582,-0.005398110661268607,-0.005412733106750335,0.021709633649932177,UWMC,mid,stooq
2024-06-03,7.41,7.56,7.33,7.52,1331123,0.020352781546811416,0.020148431760503238,0.030585106382978663,UWMC,mid,stooq
2024-06-04,7.47,7.64,7.46,7.56,1392427,0.005319148936170137,0.005305052229693098,0.023809523809523774,UWMC,mid,stooq
2024-06-05,7.6,7.665,7.53,7.61,1107042,0.006613756613756738,0.006591981682152962,0.01773981603153742,UWMC,mid,stooq
2024-06-06,7.57,7.62,7.46,7.5,650275,-0.014454664914586135,-0.014560151331329776,0.021333333333333353,UWMC,mid,stooq
2024-06-07,7.35,7.4606,7.33,7.35,1228776,-0.020000000000000018,-0.020202707317519466,0.017768707482993234,UWMC,mid,stooq
2024-06-10,7.3,7.325,7.18,7.26,794823,-0.01224489795918371,-0.012320484388040624,0.019972451790633672,UWMC,mid,stooq
2024-06-11,7.21,7.285,7.195,7.26,878965,0.0,0.0,0.012396694214876014,UWMC,mid,stooq
2024-06-12,7.51,7.785,7.39,7.42,1376359,0.02203856749311295,0.02179922834258436,0.053234501347708955,UWMC,mid,stooq
2024-06-13,7.46,7.465,7.225,7.36,807309,-0.008086253369272156,-0.008119124438504129,0.03260869565217394,UWMC,mid,stooq
2024-06-14,7.25,7.4,7.235,7.3,691010,-0.00815217391304357,-0.008185584586439518,0.0226027397260274,UWMC,mid,stooq
2024-06-17,7.29,7.41,7.23,7.38,545531,0.010958904109588996,0.010899290458035638,0.024390243902438987,UWMC,mid,stooq
